stance dy=-0.25  target y=-0.2348 z=1.0982  basis=clamp site_set=v2 mu=0.60
set                          x   reach   plcd   peak   margin    push  gate
legs-only                 1.00  0.0037      y  0.512   0.0619      49  ok
legs-only                 1.05  0.0035      y  0.696   0.0360      29  ok
legs-only                 1.10  0.0034      y  0.959   0.0052       4  ok
legs-only                 1.15  0.0023      y  0.997  -0.0193       0  STRENGTH
legs-only                 1.20  0.0020      y  1.019  -0.0319       0  STRENGTH
legs-only                 1.25  0.0081      y  0.987  -0.0415       0  STRENGTH
legs-only                 1.30  0.0148      y  1.077  -0.0570       0  STRENGTH
legs-only                 1.35  0.0116      y  1.235  -0.0840       0  STRENGTH
legs-only                 1.40  0.0096      y  1.332  -0.1178       0  STRENGTH
legs-only                 1.45  0.0049      y  1.505  -0.2041       0  STRENGTH
legs-only                 1.50  0.0057      y  1.516  -0.2309       0  STRENGTH
legs-only                 1.55  0.0101      y  1.510  -0.2560       0  STRENGTH
legs-only                 1.60  0.0122      y  1.507  -0.2924       0  STRENGTH
legs-only                 1.65  0.0123      y  1.475  -0.3060       0  STRENGTH
legs-only                 1.70  0.0139      y  1.441  -0.3292       0  STRENGTH
legs-only                 1.75  0.0165      y  1.417  -0.3475       0  STRENGTH
legs-only                 1.80  0.0176      y  1.341  -0.3788       0  STRENGTH
palm                      1.00  0.0027      y  0.496   0.0881      71  ok
palm                      1.05  0.0027      y  0.500   0.1182      96  ok
palm                      1.10  0.0027      y  0.504   0.1212      98  ok
palm                      1.15  0.0038      y  0.781   0.0830      68  ok
palm                      1.20  0.0030      y  0.918   0.0623      51  ok
palm                      1.25  0.0037      y  1.092   0.0389      32  STRENGTH
palm                      1.30  0.0111      y  1.374   0.0119      10  STRENGTH
palm                      1.35  0.0121      y  1.966  -0.0109       0  STRENGTH
palm                      1.40  0.0049      y  3.468  -0.0751       0  STRENGTH
palm                      1.45  0.0041      y  3.736  -0.1065       0  STRENGTH
palm                      1.50  0.0053      y  4.034  -0.1283       0  STRENGTH
palm                      1.55  0.0100      y  4.273  -0.1488       0  STRENGTH
palm                      1.60  0.0132      y  4.657  -0.1780       0  STRENGTH
palm                      1.65  0.0120      y  5.384  -0.1863       0  STRENGTH
palm                      1.70  0.0136      y  4.571  -0.2076       0  STRENGTH
palm                      1.75  0.0163      y  4.607  -0.2305       0  STRENGTH
palm                      1.80  0.0178      y  4.900  -0.2522       0  STRENGTH
elbow+forearm             1.00  0.0044      y  0.479   0.1433     116  ok
elbow+forearm             1.05  0.0045      y  0.484   0.1733     141  ok
elbow+forearm             1.10  0.0043      y  0.491   0.1956     164  ok
elbow+forearm             1.15  0.0038      y  0.506   0.1840     176  ok
elbow+forearm             1.20  0.0035      y  0.511   0.1686     186  ok
elbow+forearm             1.25  0.0044      y  0.554   0.1497     171  ok
elbow+forearm             1.30  0.0097      y  0.741   0.1112     111  ok
elbow+forearm             1.35  0.0124      y  0.844   0.0912     101  ok
elbow+forearm             1.40  0.0108      y  1.035   0.0603      87  STRENGTH
elbow+forearm             1.45  0.0064      y  1.320   0.0246      39  STRENGTH
elbow+forearm             1.50  0.0084      y  1.127   0.0118      21  STRENGTH
elbow+forearm             1.55  0.0105      y  1.294  -0.0059       0  STRENGTH
elbow+forearm             1.60  0.0106      y  1.327  -0.0250       0  STRENGTH
elbow+forearm             1.65  0.0145      y  1.503  -0.0478       0  STRENGTH
elbow+forearm             1.70  0.0163      y  2.423  -0.0723       0  STRENGTH
elbow+forearm             1.75  0.0199      y  1.825  -0.0889       0  STRENGTH
