set=elbow+forearm+palm  target y=-0.2348 z=1.0982  basis=clamp  site_set=v2
    dx     dy |   wall strength | on_table  y_clear
  0.00   0.00 |   1.30     1.30 |     0.56  -0.0048
  0.00  -0.05 |   1.30     1.30 |     0.67  -0.0029
  0.00  -0.10 |   1.35     1.35 |     0.78  -0.0013
  0.00  -0.15 |   1.35     1.35 |     0.78  -0.0012
  0.00  -0.20 |   1.35     1.35 |     0.78  -0.0013
  0.00  -0.25 |   1.60     1.40 |     1.00   0.1430
 -0.05   0.00 |   1.35     1.35 |     0.67  -0.0042
 -0.05  -0.05 |   1.35     1.35 |     0.67  -0.0016
 -0.05  -0.10 |   1.35     1.35 |     0.78  -0.0012
 -0.05  -0.15 |   1.35     1.35 |     0.78  -0.0013
 -0.05  -0.20 |   1.35     1.35 |     0.78  -0.0012
 -0.05  -0.25 |   1.60     1.35 |     1.00   0.1514
  0.05   0.00 |   1.30     1.30 |     0.56  -0.0048
  0.05  -0.05 |   1.30     1.30 |     0.67  -0.0025
  0.05  -0.10 |   1.30     1.30 |     0.78  -0.0005
  0.05  -0.15 |   1.30     1.30 |     0.78  -0.0006
  0.05  -0.20 |   1.35     1.35 |     0.78  -0.0012
  0.05  -0.25 |   1.60     1.35 |     1.00   0.1376

best by strength-limited envelope then arm-on-table: {'dx': 0.0, 'dy': -0.25, 'wall': 1.6, 'strength': 1.4, 'on_table': 1.0, 'y_clear': 0.14304771802476812, 'subset': ['elbow', 'forearm', 'palm']}
wrote runs/2026-08-04_session11/stance_sweep.json
