set=elbow+forearm+palm  target y=-0.2348 z=1.0982  site_set=v2
 heading     dy |    env on_table  y_clear |   skew   roll  lat CoM   imbal
     off   0.00 |   1.30     0.56  -0.0048 |    2.9    2.4   -0.008  +0.126
     off  -0.10 |   1.35     0.78  -0.0013 |   18.2    1.3    0.010  +0.074
     off  -0.25 |   1.40     1.00   0.1293 |   25.0    7.5   -0.108  +0.347
       0   0.00 |   1.30     1.00   0.0246 |    0.0    2.7   -0.012  +0.128
       0  -0.10 |   1.35     1.00   0.1054 |    0.0    0.8    0.015  +0.089
       0  -0.25 |   1.45     1.00   0.0942 |    1.2    8.5   -0.115  +0.225
     -10   0.00 |   1.30     1.00   0.0744 |  -10.0    2.6   -0.014  +0.125
     -10  -0.10 |   1.35     1.00   0.1420 |  -10.0    0.9    0.014  +0.080
     -10  -0.25 |   1.40     1.00   0.1300 |   -9.7    7.4   -0.099  +0.178
     -20   0.00 |   1.30     1.00   0.1262 |  -20.0    2.7   -0.017  +0.112
     -20  -0.10 |   1.30     1.00   0.1974 |  -19.9    1.2    0.005  +0.090
     -20  -0.25 |   1.35     1.00   0.0995 |  -19.6    6.4   -0.059  +0.325

best balanced (|imbalance| < 0.20): heading=-10.0 dy=-0.25 -> 1.40 m, imbalance +0.178, roll 7.4 deg, on_table 1.00
wrote runs/2026-08-04_session11/heading_stance.json
